cnpj,identificador_matriz_filial,razao_social,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,codigo_pais,nome_pais,natureza_juridica,data_inicio_atividade,cnae,descricao_tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,municipio_import,ddd1,ddd2,ddd_fax,email,qualificacao_do_responsavel,capital_social,porte,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_do_simples,opcao_pelo_mei,situacao_especial,data_situacao_especial,telefone_completo_1,telefone_completo_2,endereco,municipio,tel_maps,site,whatsapp,instagram,facebook,email_site,score,status,socios,tel_opencnpj,email_opencnpj,site_google,atualizado_em
03200492000157,1,ALMEIDA & SILVA COMERCIO DE AGUA MINERAL LTDA,,2,2006-12-21,0,,,,2062,1999-06-02,4723700,RUA,RIACHUELO,285,,JD PAULISTA,12216040,SP,7099,SAO JOSE DOS CAMPOS,012 3212285,,012 3212285,solucoes@valley-bbs.com.br,49,0.00,01,1,2007-07-01,,0,,,,,"RIACHUELO, 285 — JD PAULISTA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03202326000190,1,MARCELO RODOLFO DOS SANTOS SJCAMPOS,CHAVEIRO PARAISO,2,1997-11-14,0,,,,2135,1997-11-14,9529102,RUA,DOS LIRIOS,629,LJ 01,JARDIM MOTORAMA,12224010,SP,7099,SAO JOSE DOS CAMPOS,12  30180963,12  30181718,,chaveiroparaiso@bol.com.br,50,0.00,01,1,2010-01-01,,0,,,,,"DOS LIRIOS, 629 — JARDIM MOTORAMA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03202536000188,1,JR CONDUTA TRANSPORTES E LOCACOES EIRELI,MECANICA CONDUTA,2,2001-03-26,0,,,,2305,1999-05-28,3811400,RUA,EUCLIDES MIRAGAIA,145,SALA  918,CENTRO,12245820,SP,7099,SAO JOSE DOS CAMPOS,12  39422063,,12  39422065,PROCESSOS@ORTECNET.COM.BR,65,100000.00,03,1,2007-07-01,,0,,,,,"EUCLIDES MIRAGAIA, 145 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03204106000103,1,KAZON E ANDRADE INSTITUTO DE FISIOTERAPIA LTDA,,2,2005-04-16,0,,,,2062,1999-06-08,8650004,AVENIDA,ADHEMAR DE BARROS,633,,JARDIM SAO DIMAS,12245010,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,1,2015-01-01,,0,,,,,"ADHEMAR DE BARROS, 633 — JARDIM SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03204347000144,1,JOSE LUIZ SOARES PEDRAS,,2,2005-11-03,0,,,,2135,1999-05-31,4744005,RUA,ALFREDO COSLOP,1125,,BOSQUE DOS EUCALIPTOS,12232090,SP,7099,SAO JOSE DOS CAMPOS,12  81438868,12  39417557,12  39215088,jwcamargo@hotmail.com,50,0.00,01,0,,,0,,,,,"ALFREDO COSLOP, 1125 — BOSQUE DOS EUCALIPTOS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03204357000180,1,ESM EDITORA LTDA.,TESOURO EDITORA,2,2019-05-28,0,,,,2062,1999-05-18,5811500,AVENIDA,BARBACENA,1190,,JARDIM ISMENIA,12221000,SP,7099,SAO JOSE DOS CAMPOS,12  30189443,,,EDFASSESSORIABRASIL@YAHOO.COM.BR,49,10000.00,03,0,,,0,,,,,"BARBACENA, 1190 — JARDIM ISMENIA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03204884000194,1,CENTRO RECREATIVO INFANTIL URSINHOS CARINHOSOS S/C LTDA,,2,2005-11-03,0,,,,2240,1999-06-08,8512100,RUA,CARLOS BELMIRO DOS SANTOS,94,,SANTANA,12212050,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,,,0,,,,,"CARLOS BELMIRO DOS SANTOS, 94 — SANTANA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03206544000100,1,ASSOCIACAO AMIGOS DA ESCOLA MUNICIPAL DO NUCLEO DE EDUCACAO INFANTIL DA VILA PAIVA,A A E NEI DA VILA PAIVA,2,1999-06-01,0,,,,3999,1999-06-01,9430800,RUA,ANTONIO PEDRO PEROTTI,375,,VILA PAIVA,12213400,SP,7099,SAO JOSE DOS CAMPOS,12  39012195,12  39012201,12  39012195,ilson.girardi@sjc.sp.gov.br,10,0.00,05,0,,,0,,,,,"ANTONIO PEDRO PEROTTI, 375 — VILA PAIVA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03207334000129,1,ASSOCIACAO AMIGOS DA ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROF. LUIZ SUNDFELD,AAE DA EMEI LUIZ SUNDFELD,2,1999-06-08,0,,,,3999,1999-06-08,9430800,RUA,FELICIO JABBUR NASSER,1035,,CONJ RES GALO BRANCO,12247530,SP,7099,SAO JOSE DOS CAMPOS,12  39012195,,,ILSON.GIRARDI@SJC.SP.GOV.BR,10,0.00,05,0,,,0,,,,,"FELICIO JABBUR NASSER, 1035 — CONJ RES GALO BRANCO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03207499000362,2,"INSTITUTO SOCIAL PARA MOTIVAR, APOIAR E RECONHECER TALENTOS - ISMART",ISMART,2,2017-06-28,0,,,,3999,2017-06-28,9430800,RUA,BENEDITO OSVALDO LECQUES,51,CONJ  604,PARQUE RESIDENCIAL AQUARIUS,12246021,SP,7099,SAO JOSE DOS CAMPOS,11  30786333,,11  30782354,GUILHERME.CHEBIB@ISMART.ORG.BR,16,0.00,05,0,,,0,,,,,"BENEDITO OSVALDO LECQUES, 51 — PARQUE RESIDENCIAL AQUARIUS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03207872000113,1,LINA ESCRITORY S/C LTDA,,2,2019-03-24,0,,,,2240,1999-06-04,8299799,AVENIDA,CIDADE JARDIM,5222,SALA 02,BQ EUCALIPTOS,12233002,SP,7099,SAO JOSE DOS CAMPOS,012 3332268,,,,49,0.00,01,0,,,0,,,,,"CIDADE JARDIM, 5222 — BQ EUCALIPTOS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03208156000150,1,CONDOMINIO EDIFICIO MAISON MONTPELIER,CONDOMINIO EDIFICIO MONTPELIER,2,1999-04-24,0,,,,3085,1999-04-24,8112500,,PAULO EDSON BLAIR,25,,VILA EMA,12243100,SP,7099,SAO JOSE DOS CAMPOS,,,,,19,0.00,05,0,,,0,,,,,"PAULO EDSON BLAIR, 25 — VILA EMA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03208502000109,1,PERFUMARIA NOVA SAO JOSE LTDA,,2,2004-08-28,0,,,,2062,1999-06-10,4772500,RUA,DAS PESCADAS,136,APT   54B                 BLOCO B,PARQUE RESIDENCIAL AQUARIUS,12246291,SP,7099,SAO JOSE DOS CAMPOS,11  11111111,,012 3231100,XXXXX@AAA.COM,49,40000.00,01,1,2007-07-01,,0,,,,,"DAS PESCADAS, 136 — PARQUE RESIDENCIAL AQUARIUS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03208995000179,1,VETEC COMERCIO E SERVICOS LTDA,,2,2005-11-03,0,,,,2062,1999-06-02,4742300,AVENIDA,BRIGADEIRO FARIA LIMA,1219,,PQ MARTIM CERERE,12227000,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,2007-07-01,2008-04-30,0,,,,,"BRIGADEIRO FARIA LIMA, 1219 — PQ MARTIM CERERE",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03209818000107,1,OCANECO BAR LTDA.,OCANECO,2,2005-11-03,0,,,,2062,1999-06-09,5611204,AVENIDA,CASSIANO RICARDO,1590,,JARDIM ALVORADA,12240540,SP,7099,SAO JOSE DOS CAMPOS,12  39399505,12  39026000,12  39022776,MARCOS@NOTADO.COM.BR,49,5000.00,01,1,2007-07-01,,0,,,,,"CASSIANO RICARDO, 1590 — JARDIM ALVORADA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03210137000169,1,AUGUSTO & RIBEIRO LUBRIFICACAO DE ELEVADORES S/C LTDA,,2,2005-11-03,0,,,,2240,1999-06-11,8299799,RUA,25 DE AGOSTO,51,,JARDIM DAS CEREJEIRA,12225510,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,,,0,,,,,"25 DE AGOSTO, 51 — JARDIM DAS CEREJEIRA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03211211000161,1,ANTONIO MANGANARO SJCAMPOS,AUTO PECAS MANGANARO,2,2005-11-03,0,,,,2135,1999-03-25,4530703,RUA,PIRAQUARA CLUBE,320,,VILA SINHA,12212000,SP,7099,SAO JOSE DOS CAMPOS,012 3219938,,,,50,0.00,01,0,,,0,,,,,"PIRAQUARA CLUBE, 320 — VILA SINHA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03211905000107,1,DENISE FERREIRA MODAS,CANTO DA MODA,2,2005-11-03,0,,,,2135,1999-06-07,4781400,AVENIDA,PICO DAS AGULHAS NEGRAS,962,CASA 1,ALTOS DE SANTANA,12214000,SP,7099,SAO JOSE DOS CAMPOS,,,,,50,0.00,01,1,2007-07-01,,0,,,,,"PICO DAS AGULHAS NEGRAS, 962 — ALTOS DE SANTANA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03214696000147,1,EDIFICIO BARBARA HELIODORA,EDIFICIO BARBARA HELIODORA,2,1999-06-08,0,,,,3085,1999-06-08,8112500,RUA,PEDRO RABELO DE ARAUJO,40,,JARDIM APOLO II,12243110,SP,7099,SAO JOSE DOS CAMPOS,,,,,19,0.00,05,0,,,0,,,,,"PEDRO RABELO DE ARAUJO, 40 — JARDIM APOLO II",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03215139000140,1,YAMAUCHI COMUNICACAO EIRELI,MESTRA COMUNICACAO,2,2005-11-03,0,,,,2305,1999-06-14,7311400,RUA,PADRE RODOLFO,168,,JARDIM APOLLO II,12243080,SP,7099,SAO JOSE DOS CAMPOS,12  39111886,12  39111886,12  39111886,,65,550000.00,05,0,,,0,,,,,"PADRE RODOLFO, 168 — JARDIM APOLLO II",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03215289000154,1,N M VELOSO PNEUS,,2,2005-11-03,0,,,,2135,1999-06-07,2212900,ALAMEDA,RIO DANUBIO,61,,CHACARAS REUNIDAS,12238280,SP,7099,SAO JOSE DOS CAMPOS,12  39376687,12  39330789,12  33229215,rjsbrasil@terra.com.br,50,30000.00,03,1,2007-07-01,,0,,,,,"RIO DANUBIO, 61 — CHACARAS REUNIDAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03215933000194,1,GALVAO & KNIPPEL CENTRO DE FORMACAO DE CONDUTORES LTDA,ALFA,2,2001-02-01,0,,,,2062,1999-06-14,8599601,AVENIDA,PERSEU,951,,JARDIM SATELITE,12230470,SP,7099,SAO JOSE DOS CAMPOS,012 3311200,,012 3311200,,49,0.00,01,1,2019-01-01,,0,,,,,"PERSEU, 951 — JARDIM SATELITE",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03217019000182,1,PEREIRA LIMA ASSESSORIA CONTABIL LTDA,P.L. CONTABILIDADE E ASSESSORIA,2,2004-10-16,0,,,,2240,1999-06-15,6920601,RUA,LUIZ PASTEUR,188,,MONTE CASTELO,12215140,SP,7099,SAO JOSE DOS CAMPOS,12  39414409,,12  39414409,PLIMACONTABIL@UOL.COM.BR,49,1000.00,01,1,2009-01-01,,0,,,,,"LUIZ PASTEUR, 188 — MONTE CASTELO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03217331000176,1,JOSE NILTON ALVES DA SILVA,,2,2008-08-26,0,,,,2135,1999-06-11,4929901,RUA,PAULO SALEM,122,,JARDIM PARAISO DO SOL,12225230,SP,7099,SAO JOSE DOS CAMPOS,12  92255109,,,,50,5000.00,01,1,2009-01-01,,1,,,,,"PAULO SALEM, 122 — JARDIM PARAISO DO SOL",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03217748000139,1,MARCELO CARLOS DE SOUZA SJCAMPOS,,2,2005-11-03,0,,,,2135,1999-05-26,4724500,RODOVIA,PRESIDENTE DUTRA,SN,KM    138.5               PAVLH GC                  BOX   30A 30B,EUGENIO DE MELLO,12247004,SP,7099,SAO JOSE DOS CAMPOS,12  41411720,12  33415572,12  33415573,CONTATO@WCONTABILIDADE.COM.BR,50,0.00,01,1,2017-01-01,,0,,,,,"PRESIDENTE DUTRA, SN — EUGENIO DE MELLO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03219145000176,1,CONDOMINIO EDIFICIO ITAPOLIS,EDIFICIO ITAPOLIS,2,1999-06-04,0,,,,3085,1999-06-04,8112500,RUA,GUIDOVAL,122,,CONJ.  31 DE MARCO,12237550,SP,7099,SAO JOSE DOS CAMPOS,,,,,19,0.00,05,0,,,0,,,,,"GUIDOVAL, 122 — CONJ.  31 DE MARCO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03219586000178,1,CLEBER A. F. COSTA,,2,2005-11-03,0,,,,2135,1999-06-15,4742300,RUA,VINTE E SETE DE JULHO,297,,JD PAULISTA,12215100,SP,7099,SAO JOSE DOS CAMPOS,,,,,50,0.00,01,0,2007-07-01,2008-12-31,0,,,,,"VINTE E SETE DE JULHO, 297 — JD PAULISTA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03219887000100,1,GENS COMERCIO E REPRESENTACOES LTDA,,2,2005-11-03,0,,,,2062,1999-05-31,4613300,AVENIDA,DA LIBERDADE,700,,JARDIM ALVORADA,12240550,SP,7099,SAO JOSE DOS CAMPOS,11  43300788,,,PODDIUM.LEGAL@TERRA.COM.BR,49,1000.00,01,0,,,0,,,,,"DA LIBERDADE, 700 — JARDIM ALVORADA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03220104000108,1,EDILSON TEIXEIRA DE CASTRO PLENITUDE,PLENITUDE PRODUTOS QUIMICOS,2,2005-11-03,0,,,,2135,1999-06-16,4789099,AVENIDA,GUADALUPE,69,,JARDIM AMERICA,12235000,SP,7099,SAO JOSE DOS CAMPOS,012 3166433,,,,50,0.00,01,1,2007-07-01,,0,,,,,"GUADALUPE, 69 — JARDIM AMERICA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03220950000110,1,TERRA INDUSTRIA ELETRONICA LTDA,TERRA IND.ELETRONICA,2,2004-09-04,0,,,,2062,1999-06-14,2670101,AVENIDA,OURO FINO,572,PAVMTOSUPERIOR,BOSQUE DOS EUCALIPTOS,12233400,SP,7099,SAO JOSE DOS CAMPOS,12  39171020,,,TERRAELETRONICA@TERRAELETRONICA.COM.BR,49,100000.00,01,1,2017-01-01,,0,,,,,"OURO FINO, 572 — BOSQUE DOS EUCALIPTOS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03222199000190,1,ASSOCIACAO AMIGOS DA ESCOLA MUNICIPAL INSTITUTO MATERNO INFANTIL PROFESSORA DIMEIA MARIA FERREIRA DINIZ ENDO,A.A.E.I.M.I. PROFA DIMEIA ENDO,2,2005-11-03,0,,,,3999,1999-05-20,9430800,RUA,NELSON JOSE C FERREIRA,91,,CAMPO DOS ALEMAES,12227788,SP,7099,SAO JOSE DOS CAMPOS,012 3315711,,,,10,0.00,05,0,,,0,,,,,"NELSON JOSE C FERREIRA, 91 — CAMPO DOS ALEMAES",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03223323000132,1,TEIXEIRA COPIAS LTDA,IDEVISUAL,2,2005-11-03,0,,,,2062,1999-06-04,1813099,RUA,PARAIBUNA,75,,JARDIM SAO DIMAS,12245020,SP,7099,SAO JOSE DOS CAMPOS,12  39210666,,,,49,36000.00,01,1,2007-07-01,,0,,,,,"PARAIBUNA, 75 — JARDIM SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03223769000167,1,GERALDO ANTONIO DE LIMA LOJA,,2,2020-08-05,0,,,,2135,1999-06-11,4744005,RUA,RITA TEXEIRA LEITE,4,,PARAISO DO SOL,12225220,SP,7099,SAO JOSE DOS CAMPOS,012 3225449,,,,50,0.00,05,0,,,0,,,,,"RITA TEXEIRA LEITE, 4 — PARAISO DO SOL",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03223837000198,1,JULIANA COMERCIAL E DISTRIBUIDORA DE EMBALAGENS LTDA.,,2,2005-11-03,0,,,,2062,1999-06-16,4789099,RUA,BENEDITO DA SILVA RAMOS,450,.,JARDIM ESPLANADA,12242650,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,1,2007-07-01,,0,,,,,"BENEDITO DA SILVA RAMOS, 450 — JARDIM ESPLANADA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03225625001979,2,KENYA S/A TRANSPORTE E LOGISTICA,,2,2016-12-01,0,,,,2054,2007-11-12,4930202,RUA,LOANDA,1003,,CHACARAS REUNIDAS,12238330,SP,7099,SAO JOSE DOS CAMPOS,11  64528786,11  64971854,11  64528786,clcontab@superig.com.br,10,0.00,05,0,,,0,,,,,"LOANDA, 1003 — CHACARAS REUNIDAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03225933000175,1,MARLENE DE ALMEIDA FIRMINO,,2,2005-11-03,0,,,,2135,1999-06-07,4742300,AVENIDA,OURO FINO,321,,BOSQUE DOS EUCLIPTOS,12233400,SP,7099,SAO JOSE DOS CAMPOS,,,,,50,0.00,01,1,2007-07-01,,0,,,,,"OURO FINO, 321 — BOSQUE DOS EUCLIPTOS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03225961000192,1,FONSECA & DUQUE LTDA,FONSECA & DUQUE,2,2001-09-15,0,,,,2062,1999-04-28,4930203,RUA,CORONEL GONCALVES,300,SALA  02,EUGENIO DE MELO,12247002,SP,7099,SAO JOSE DOS CAMPOS,12  32035200,,12  39315023,FINANCEIRO@DUTRAFER.COM.BR,49,50000.00,03,1,2015-01-01,,0,,,,,"CORONEL GONCALVES, 300 — EUGENIO DE MELO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03228712000150,1,ENTERPRISE SUITE HOTEL,,2,1999-06-17,0,,,,3085,1999-06-17,8112500,AVENIDA,DEP BENEDITO MATARAZZO,9009,,JD OSVALDO CRUZ,12216550,SP,7099,SAO JOSE DOS CAMPOS,012 3411733,,,,16,0.00,05,0,,,0,,,,,"DEP BENEDITO MATARAZZO, 9009 — JD OSVALDO CRUZ",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03231666000149,1,"ASSOCIACAO ESPORTIVA, RECREATIVA E CULTURAL ANJOS DE ANGOLA",ASSOCIACAO DE CAPOEIRA ANJOS DE ANGOLA,2,2019-04-17,0,,,,3999,1999-06-18,9319199,RUA,CISNE,315,,JD. SATELITE,12230140,SP,7099,SAO JOSE DOS CAMPOS,,,,,16,0.00,05,0,,,0,,,,,"CISNE, 315 — JD. SATELITE",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03233851000172,1,SUNUNGA AUTO POSTO LTDA,,2,2004-12-24,0,,,,2062,1999-04-16,4731800,RUA,ANDORRA,170,,JARDIM AMERICA,12235050,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,,,0,,,,,"ANDORRA, 170 — JARDIM AMERICA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03233904000155,1,MARLENE MARIA DA SILVA,MARJORIE MODAS,2,2005-11-03,0,,,,2135,1999-06-23,1412601,RUA,GISELE MARTINS,170,,JARDIM MORUMBI,12236500,SP,7099,SAO JOSE DOS CAMPOS,,,,,50,17000.00,01,1,2007-07-01,,0,,,,,"GISELE MARTINS, 170 — JARDIM MORUMBI",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03233998000243,2,ESTRELA DO VALE TRANSPORTES LTDA,,2,2009-01-13,0,,,,2062,2009-01-13,4930202,RUA,DAS CRAVINAS,162,,JARDIM MOTORAMA,12224190,SP,7099,SAO JOSE DOS CAMPOS,12  39434424,,,sbcontabilidade@uol.com.br,49,0.00,03,0,,,0,,,,,"DAS CRAVINAS, 162 — JARDIM MOTORAMA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03233998000324,2,ESTRELA DO VALE TRANSPORTES LTDA,,2,2017-01-10,0,,,,2062,2017-01-10,4930202,RODOVIA,PRESIDENTE DUTRA KM 143,143,SALA  33,JARDIM MOTORAMA,12223900,SP,7099,SAO JOSE DOS CAMPOS,12  39299888,,,CHARLES@ESTRELADOVALE.COM.BR,49,0.00,03,0,,,0,,,,,"PRESIDENTE DUTRA KM 143, 143 — JARDIM MOTORAMA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03237583003930,2,COPAGAZ DISTRIBUIDORA DE GAS S.A,COPAGAZ,2,2005-11-03,0,,,,2054,1985-07-08,4682600,AVENIDA,PRESIDENTE TANCREDO NEVES,1200,,JARDIM AMERICANO,12225011,SP,7099,SAO JOSE DOS CAMPOS,12  21396500,11  21633900,,controladoria@copagaz.com.br,16,0.00,05,0,,,0,,,,,"PRESIDENTE TANCREDO NEVES, 1200 — JARDIM AMERICANO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03238031000173,1,"SINDICATO DOS PROPAGANDISTAS, PROPAGANDISTAS-VENDEDORES E VENDEDORES DE PRODUTOS FARMACEUTICOS DO VALE DO PARAIBA",SINPROVAP,2,2005-11-03,0,,,,3131,1998-02-17,9420100,RUA,DAS CARPAS,60,ANDAR 8                   SALA  83,PARQUE RESIDENCIAL AQUARIUS,12246292,SP,7099,SAO JOSE DOS CAMPOS,12  39417480,,012 3373135,PROCESSO@NEXOCONT.COM.BR,16,0.00,05,0,,,0,,,,,"DAS CARPAS, 60 — PARQUE RESIDENCIAL AQUARIUS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03239187000179,1,CLICKMIDIA DRN COMUNICACAO E MARKETING LTDA.,CLICKMIDIA COMUNICACAO INTERATIVA,2,2005-11-03,0,,,,2062,1999-06-24,6319400,RUA,GISELE MARTINS,828,,CIDADE MORUMBI,12236500,SP,7099,SAO JOSE DOS CAMPOS,12  32098682,12  32098683,,atendimento@clikmidia.com.br,49,25000.00,01,1,2012-01-01,,0,,,,,"GISELE MARTINS, 828 — CIDADE MORUMBI",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03239405000175,1,CELPEX INDUSTRIA E COMERCIO LTDA,,2,2005-08-13,0,,,,2062,1999-06-23,2829199,AVENIDA,VISCONDE DE CARAVELAS,185,,JD DO LAGO,12228050,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,50000.00,01,0,,,0,,,,,"VISCONDE DE CARAVELAS, 185 — JD DO LAGO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03240711000121,1,BARROS AUDIO CAR COMERCIO DE SOM E ACESSORIOS LTDA,,2,2005-11-03,0,,,,2062,1999-06-25,4789099,AVENIDA,JOAO BATISTA DE QUEIROZ JUNIOR,2471,,JD DAS INDUSTRIAS,12240010,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,1,2007-07-01,,0,,,,,"JOAO BATISTA DE QUEIROZ JUNIOR, 2471 — JD DAS INDUSTRIAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03241135000137,1,REMAF REFORMA DE MAQUINAS E FERRAMENTAS LTDA,REMAF,2,2005-11-03,0,,,,2062,1999-06-21,4612500,RUA,EDWARD SIMOES,170,,VILA INDUSTRIAL,12220530,SP,7099,SAO JOSE DOS CAMPOS,012 39294218,,012 39296022,,49,10000.00,01,0,,,0,,,,,"EDWARD SIMOES, 170 — VILA INDUSTRIAL",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03242288000107,1,SANTOS & SOUSA S/C LTDA,MTC - MONTAGEM EM TUBULACOES E CALDEIRARIA,2,2015-01-13,0,,,,2240,1998-07-16,4292801,RUA,BAEPENDI,270,,JARDIM ISMENIA,12220780,SP,7099,SAO JOSE DOS CAMPOS,12  39126265,12  30183151,12  39126265,ESCRITORIOHENRIQUETEIXEIRA@GMAIL.COM,49,1000.00,01,1,2020-01-01,,0,,,,,"BAEPENDI, 270 — JARDIM ISMENIA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03243385000106,1,PRINT VALE GRAFICA E EDITORA LTDA,,2,2019-05-27,0,,,,2062,1999-06-29,5829800,RUA,BERNA,324,,JD. AUGUSTA,12216680,SP,7099,SAO JOSE DOS CAMPOS,,,,,49,0.00,01,0,2007-07-01,2008-12-31,0,,,,,"BERNA, 324 — JD. AUGUSTA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03244267000112,1,ACADEMIA MEDEIROS & OLIVEIRA LTDA,CIA PAULISTA DE MUSCULACAO,2,2005-08-27,0,,,,2240,1999-06-28,9313100,RUA,PALMARES,816,,PARQUE INDUSTRIAL,12235620,SP,7099,SAO JOSE DOS CAMPOS,12  39218107,,12  39218107,contabilsato@ uol.com.br,49,0.00,01,0,,,0,,,,,"PALMARES, 816 — PARQUE INDUSTRIAL",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
03244322000174,1,AAEM DA EMEI JOSE PURCINI,AAE JOSE PURCINI,2,1999-05-27,0,,,,3999,1999-05-27,8512100,RUA,DOS CIRURGIOES DENTISTAS,480,,JARDIM SANTA INES II,12248515,SP,7099,SAO JOSE DOS CAMPOS,12  39297402,,,josepurcini@ig.com.br,10,0.00,05,0,,,0,,,,,"DOS CIRURGIOES DENTISTAS, 480 — JARDIM SANTA INES II",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
